track_id,song_title,n_chars,chorus_used,chorus_found
track_058,Heartbeats,840,to call for hands of above to lean on wouldn't be good,True
track_059,Holocene,1000,the highway aisle jagged vance thick with ice i could see for,True
track_060,Home,1000,surrounded by a million people i still feel all alone,True
track_061,Hot Body,1000,look focus look what a hot body can do body be dancing,True
track_062,How Do I Say Goodbye,999,so how do i say goodbye to someone who's been with me,True
track_063,How to Disappear Completely,405,i'm not here this isn't happening i'm not here i'm not here,True
track_064,How Villains Are Made,786,this is how villains are made this is how villains are made,True
track_065,Human,919,underneath the skin there's a human buried deep within there's a human,True
track_066,HYPNOTIZE,1000,so watch me hypnotize you with my eyes make you fantasize about,True
track_067,I Don't Fuck With You,1000,don't give a fuck about you or anything that you do,True
track_068,I See Fire,1000,and we will watch the flames burn auburn on the mountain side,True
track_069,I THINK,1000,four how can i tell you skate how can i tell you,True
track_070,"If I Go, I’m Goin",788,i will go if you ask me to i will stay if,True
track_071,If,626,"If a picture paints a thousand words, Then why can't I paint you? The words will never show the you I've come to know. If a face could launch a thousand ships, Then where am I to go? There's no one home but you, You're all that's left me too. And when my love for life is running dry, You come and po",False
track_072,II HANDS II HEAVEN,1000,two hands to heaven my whiskey up high oh oh god only,True
track_073,In Case You Don't Live Forever,999,i've waited way too long to say everything you mean to me,True
track_074,In My Room,1000,no sleeper seats that's a mattress,True
track_075,Industry Baby,1000,dog get your soldiers tell em,True
track_076,IS THIS A CULT?,1000,guess i'll go yeah guess i'll go yeah,True
track_077,Isn’t she lovely,560,but isn't she lovely made from love isn't she,True
track_078,Juna,688,don't need even try i don't have to think with you there's,True
track_079,Karma Police,685,this is what you get this is what you get this is,True
track_080,Last Call,1000,da da da da da da da da da da,True
track_081,Last Resort,1000,my last resort suffocation no breathing don't give a fuck if i,True
track_082,Legends Never Die,1000,out your name legends never die they become a part of you,True
track_083,Let It Happen,836,maybe i was ready all along maybe i was ready all along,True
track_084,Little Trouble Girl,1000,if you want me to i will be the one that is,True
track_085,Lost Stars,1000,our tears and god tell us the reason youth is wasted on,True
track_086,Lost Woman Found,406,i'm looking for a miracle i'm looking for a miracle,True
track_087,Lovers Rock,1000,but if you're too drunk to drive and the music is right,True
track_088,m.A.A.d city,1000,this is not a,True
track_089,Midnight Love,952,i can't be your midnight love oh oh oh when your silver,True
track_090,Money Diamonds Roses,1000,money and diamonds and all of the roses nothing compares to your,True
track_091,moon and back,1000,yeah my thoughts get dark but you shine so bright yeah you,True
track_092,My Generation,1000,talkin bout my generation this is my generation this is my generation,True
track_093,Myth,647,if you build yourself a myth know just what to give,True
track_094,Never Ending Song,774,and it goes on and on and on like a never ending,True
track_095,Not a Catastrophe,1000,not open up the bottle pour me one last drink tell me,True
track_096,Nothing,1000,but there's nothing like doing nothing with you,True
track_097,NYMPHOLOGY,1000,i will not suffer ah ah cry under covers ah ah i'm,True
track_098,Old Friend,663,meet me at blue diner i'll take coffee and talk about nothing,True
track_099,On Top Of The World,999,i take it in but don t look down cause i m,True
track_100,One Step Closer,1000,everything you say to me takes me one step closer to the,True
track_101,Oscar Winning Tears,1000,baby baby you can go ahead cry those oscar winning tears,True
track_102,Paper Hearts,1000,pictures i'm living through for now trying to remember all the good,True
track_103,Permission to Dance,1000,"It's the thought of being young When your heart's just like a drum Beating louder with no way to guard it When it all seems like it's wrong Just sing along to Elton John And to that feeling, we're just getting started When the nights get colder And the rhythms got you falling behind Just dream about",False
track_104,Piece Of You,1000,i get jealous but who wouldn't when you look like you do,True
track_105,Psycho Killer,1000,psycho killer qu'est ce que c'est fa fa fa fa fa fa,True
track_106,Raindance,1000,i love you i love you i love you i love you,True
track_107,Real Love,899,real love real love real love makes your lungs black real love,True
track_108,Red Eye,1000,hoppin on the red eye big bag oh,True
track_109,Revolve,1000,oh oh oh say it's magic and no oh oh say a,True
track_110,Risky,799,baby can you tell me that you miss me i haven't been,True
track_111,Run to me,934,me run to me whenever you're lonely to love me run to,True
track_112,Saturn,716,i couldn't help but ask for you to say it all again,True
track_113,Say Something,715,anywhere i would've followed you say something i'm giving up on you,True
track_114,Scarborough Fair,669,parsley sage rosemary and thyme remember me to one who lives there,True
track_115,Seasons of Love,960,in love seasons of love seasons of love,True
track_116,Shiny Happy People,493,gold and silver shine shiny happy people holding hands shiny happy people,True
track_117,Slow Dancing in a Burning Room,1000,we're going down and you can see it too we're going down,True
track_118,Smells Like Teen Spirit,1000,hello hello hello how low hello hello hello how low hello hello,True
track_119,Snow On The Beach,1000,it's like snow at the beach weird but fuckin beautiful flying in,True
track_120,Sometimes I Believe in God (Sometimes I Believe in Me),520,ja wierzę w boga ja wierzę w siebie ja wierzę w boga,True
track_121,Somewhere Over the Rainbow,1000,and i think to myself what a wonderful world,True
track_122,Song to the Siren,688,to me let me enfold you here i am here i am,True
track_123,Space Song,676,fall back into place fall back into place fall back into place,True
track_124,Sparks,516,la la la la oh oh la la la la oh oh,True
track_125,Stay,999,round and around and around and around we go ohhh now tell,True
track_126,Sugar,1000,i don't wanna be needing your love i just wanna be deep,True
track_127,Sweet Baby James,1000,a song that they sing when they take to the,True
track_128,Tears and Rain,1000,far far away find comfort in pain all pleasure's the same it,True
track_129,The Final Count Down ,489,it's the final countdown,True
track_130,The Seal Lullaby,430,asleep in the arms of the slow swinging seas,True
track_131,The Way Things Go,999,there's so much left to say i guess i'm just the bigger,True
track_132,Thinking Clean,537,what if everything was taken from beneath i don't want to be,True
track_133,This Time,999,time to find my way so this time i'm gon give it,True
track_134,TIT FOR TAT,1000,i never will last night she answered my call it sealed the,True
track_135,Too Good At Goodbyes,1000,i'm way too good at goodbyes i'm way too good at goodbyes,True
track_136,Too Sweet,1000,take my whiskey neat my coffee black and my bed at three,True
track_137,Unstoppable,1000,yeah yeah yeah i'll put my armour on show you how strong,True
track_138,Valder Fields,752,we had agreed that the council should,True
track_139,Viva La Vida,1000,i hear jerusalem bells are ringing roman cavalry choirs are singing be,True
track_140,Wake Me Up Before You Go-Go,1000,wake me up before you go go,True
track_141,Warm Sound,599,how it feels here just how it feels here just how it,True
track_142,Watching Him Fade Away,656,watching him fade way watching him fade way watching him fade way,True
track_143,Water,1000,make me sweat make me hotter make me lose my breath make,True
track_144,We Don't Count,1000,i don't really mind it i feel like you do you just,True
track_145,Welcome to My Nightmare,727,welcome to my nightmare i think you're gonna like it i think,True
track_146,What Was I Made For?,775,i i don't know how to feel but i wanna try i,True
track_147,Why I Love You,1000,ooooh i love you so but why i love you i'll never,True
track_148,Wicked Game,1000,want to fall in love this world is only gonna break your,True
track_149,Young and Beautiful,999,will you still love me when i'm no longer young and beautiful,True
track_150,Zen,999,fire aura quiets chatter shoo shoo shoo i make em scatter they,True
